Albany,WY,5967,6399,1333
Big Horn,WY,2821,1438,545
Campbell,WY,6382,3468,1954
Carbon,WY,2930,2690,855
Converse,WY,2702,1520,639
Crook,WY,1698,651,394
Fremont,WY,7554,5445,1840
Goshen,WY,2989,1923,547
Hot Springs,WY,1348,779,287
Johnson,WY,2071,815,378
Laramie,WY,16924,13676,2958
Lincoln,WY,3764,1803,906
Natrona,WY,13182,11240,3524
Niobrara,WY,757,325,209
Park,WY,7430,3240,1318
Platte,WY,2155,1631,579
Sheridan,WY,5892,4594,1414
Sublette,WY,1829,677,401
Sweetwater,WY,5591,7088,2792
Teton,WY,3918,4042,839
Uinta,WY,3471,2414,1242
Washakie,WY,2250,1205,470
Weston,WY,1763,871,504
